workers,threads,prompt_size,prompt_tokens,gen_tokens,ttft_ms,tpot_ms,throughput_prefill,throughput_decode,total_time_ms
12,10,S,50,418,1653.16,92.22,30.25,10.84,40199.64
12,10,S,50,380,1616.57,91.97,30.93,10.87,36563.57
12,10,S,50,368,1619.46,92.24,30.87,10.84,35564.1
12,10,M,192,523,9332.31,92.72,20.57,10.79,57825.2
12,10,M,192,505,9293.62,93.08,20.66,10.74,56300.88
12,10,M,213,571,9924.35,93.35,21.46,10.71,63230.02
12,10,L,579,480,26309.49,94.55,22.01,10.58,71691.71
12,10,L,577,511,25615.1,94.26,22.53,10.61,73781.48
12,10,L,567,550,26752.7,93.98,21.19,10.64,78439.02
12,20,S,50,313,1652.22,93.33,30.26,10.71,30865.01
12,20,S,50,256,1612.17,93.65,31.01,10.68,25587.51
12,20,S,50,366,1611.14,92.34,31.03,10.83,35409.15
12,20,M,213,637,9981.04,92.92,21.34,10.76,69172.52
12,20,M,192,607,9567.93,92.87,20.07,10.77,65941.76
12,20,M,192,602,9570.42,92.79,20.06,10.78,65428.18
12,20,L,579,443,26315.2,94.85,22.0,10.54,68331.78
12,20,L,580,426,27371.34,94.48,21.19,10.58,67621.03
12,20,L,565,458,26689.81,94.64,21.17,10.57,70032.94
12,30,S,50,338,1648.33,92.5,30.33,10.81,32913.87
12,30,S,50,383,1615.1,92.84,30.96,10.77,37174.37
12,30,S,50,434,1611.69,91.41,31.02,10.94,41285.73
12,30,M,192,499,9333.78,92.88,20.57,10.77,55683.09
12,30,M,192,574,9289.78,93.08,20.67,10.74,62718.86
12,30,M,192,628,9289.54,93.28,20.67,10.72,67869.74
12,30,L,579,609,26053.95,93.37,22.22,10.71,82914.9
12,30,L,577,503,26229.88,94.13,22.0,10.62,73576.79
12,30,L,578,477,25663.52,93.31,22.52,10.72,70171.78
12,40,S,50,320,1640.4,91.42,30.48,10.94,30895.29
12,40,S,50,299,1616.37,91.74,30.93,10.9,29047.86
12,40,S,50,347,1624.19,91.96,30.78,10.87,33532.85
12,40,M,192,553,9330.77,92.76,20.58,10.78,60624.85
12,40,M,213,549,9934.57,92.56,21.44,10.8,60750.68
12,40,M,192,622,9566.05,92.63,20.07,10.8,67182.75
12,40,L,579,548,26316.49,94.19,22.0,10.62,77934.79
12,40,L,578,468,25681.23,93.56,22.51,10.69,69466.98
12,40,L,566,479,26713.9,93.83,21.19,10.66,71657.21
4,10,S,50,431,1602.24,83.69,31.21,11.95,37672.91
4,10,S,50,338,1591.55,83.64,31.42,11.96,29860.99
4,10,S,50,329,1595.75,84.13,31.33,11.89,29272.91
4,10,M,192,499,9280.74,83.73,20.69,11.94,51059.58
4,10,M,212,573,9871.48,83.27,21.48,12.01,57583.79
4,10,M,192,631,9551.68,83.48,20.1,11.98,62227.6
4,10,L,577,463,26155.69,85.54,22.06,11.69,65759.43
4,10,L,579,584,25600.48,85.25,22.62,11.73,75384.28
4,10,L,566,489,26603.39,85.18,21.28,11.74,68256.85
4,20,S,50,377,1602.69,84.02,31.2,11.9,33278.61
4,20,S,50,435,1587.41,83.64,31.5,11.96,37969.8
4,20,S,50,375,1592.74,84.25,31.39,11.87,33187.22
4,20,M,213,577,9919.15,83.89,21.47,11.92,58323.99
4,20,M,192,612,9550.92,83.47,20.1,11.98,60633.56
4,20,M,192,557,9539.88,83.53,20.13,11.97,56067.84
4,20,L,578,462,26184.12,85.05,22.07,11.76,65476.93
4,20,L,577,431,25531.54,84.6,22.6,11.82,61992.94
4,20,L,565,420,26574.72,84.47,21.26,11.84,62050.87
4,30,S,50,387,1609.56,83.56,31.06,11.97,33948.85
4,30,S,50,334,1591.88,83.58,31.41,11.97,29506.57
4,30,S,50,364,1596.81,83.13,31.31,12.03,31854.39
4,30,M,192,727,9284.59,83.88,20.68,11.92,70264.59
4,30,M,192,572,9265.61,83.56,20.72,11.97,57061.68
4,30,M,192,644,9265.59,83.82,20.72,11.93,63243.49
4,30,L,578,480,25928.47,84.46,22.29,11.84,66469.66
4,30,L,579,497,26236.19,84.68,22.07,11.81,68323.98
4,30,L,578,498,25580.45,84.39,22.6,11.85,67607.58
4,40,S,50,302,1612.01,83.35,31.02,12.0,26785.13
4,40,S,50,332,1593.73,83.56,31.37,11.97,29334.73
4,40,S,50,413,1593.41,84.05,31.38,11.9,36305.55
4,40,M,192,741,9287.23,84.03,20.67,11.9,71554.53
4,40,M,192,579,9275.03,83.31,20.7,12.0,57510.85
4,40,M,192,563,9275.36,83.69,20.7,11.95,56393.02
4,40,L,579,471,25969.72,83.91,22.3,11.92,65492.75
4,40,L,579,451,26218.83,84.68,22.08,11.81,64409.47
4,40,L,578,418,25586.04,84.28,22.59,11.87,60815.4
8,10,S,50,335,1631.26,89.83,30.65,11.13,31723.73
8,10,S,50,312,1608.65,89.17,31.08,11.21,29428.8
8,10,S,50,358,1603.49,89.07,31.18,11.23,33488.81
8,10,M,192,549,9328.66,89.37,20.58,11.19,58392.58
8,10,M,212,564,9896.09,89.03,21.42,11.23,60109.3
8,10,M,192,608,9568.36,89.12,20.07,11.22,63754.23
8,10,L,579,601,26287.4,90.94,22.03,11.0,80943.15
8,10,L,580,572,27338.93,90.41,21.22,11.06,79050.93
8,10,L,565,474,26672.23,89.97,21.18,11.12,69316.63
8,20,S,50,432,1631.99,89.34,30.64,11.19,40227.18
8,20,S,50,324,1606.59,89.89,31.12,11.12,30730.72
8,20,S,50,371,1603.45,89.36,31.18,11.19,34757.42
8,20,M,192,567,9326.32,89.06,20.59,11.23,59825.02
8,20,M,192,672,9294.1,89.43,20.66,11.18,69391.68
8,20,M,192,665,9289.83,89.99,20.67,11.11,69131.94
8,20,L,577,543,25716.26,90.39,22.44,11.06,74795.37
8,20,L,579,486,26278.73,90.48,22.03,11.05,70249.61
8,20,L,578,596,25637.47,90.93,22.55,11.0,79834.41
8,30,S,50,339,1627.42,90.4,30.72,11.06,32272.48
8,30,S,50,441,1610.03,89.24,31.06,11.21,40965.63
8,30,S,50,408,1615.88,89.02,30.94,11.23,37937.63
8,30,M,192,501,9329.91,89.07,20.58,11.23,53952.14
8,30,M,192,558,9293.07,89.77,20.66,11.14,59383.14
8,30,M,192,626,9288.89,89.28,20.67,11.2,65180.29
8,30,L,579,526,26029.99,90.3,22.24,11.07,73528.37
8,30,L,578,556,26225.75,90.82,22.04,11.01,76721.98
8,30,L,579,582,25687.54,90.59,22.54,11.04,78410.94
8,40,S,50,391,1626.65,89.02,30.74,11.23,36432.39
8,40,S,50,273,1604.8,88.73,31.16,11.27,25827.52
8,40,S,50,410,1600.66,88.52,31.24,11.3,37891.89
8,40,M,192,614,9325.95,89.26,20.59,11.2,64128.65
8,40,M,192,598,9290.27,88.93,20.67,11.24,62469.86
8,40,M,192,597,9294.14,88.91,20.66,11.25,62375.47
8,40,L,579,516,26045.94,89.53,22.23,11.17,72242.1
8,40,L,579,604,26269.74,90.32,22.04,11.07,80824.76
8,40,L,576,459,25566.17,89.08,22.53,11.23,66452.08
