workers,threads,prompt_size,TTFT (ms),TPOT (ms/token),Prefill throughput (tok/s),Decode throughput (tok/s),Total time (ms)
4,10,S,1596.5133333333333,83.82,31.320000000000004,11.933333333333332,32268.936666666665
4,10,M,9567.966666666667,83.49333333333334,20.756666666666668,11.976666666666667,56956.99
4,10,L,26119.853333333333,85.32333333333334,21.986666666666668,11.719999999999999,69800.18666666666
4,20,S,1594.28,83.97,31.363333333333333,11.910000000000002,34811.87666666667
4,20,M,9669.983333333332,83.63,20.566666666666666,11.956666666666669,58341.79666666666
4,20,L,26096.793333333335,84.70666666666666,21.97666666666667,11.806666666666667,63173.579999999994
4,30,S,1599.4166666666667,83.42333333333333,31.26,11.99,31769.936666666665
4,30,M,9271.93,83.75333333333333,20.706666666666667,11.94,63523.253333333334
4,30,L,25915.036666666667,84.51,22.320000000000004,11.833333333333334,67467.07333333333
4,40,S,1599.7166666666665,83.65333333333332,31.256666666666664,11.956666666666669,30808.47
4,40,M,9279.206666666667,83.67666666666666,20.69,11.950000000000001,61819.46666666667
4,40,L,25924.86333333333,84.29,22.323333333333334,11.866666666666667,63572.54
8,10,S,1614.4666666666665,89.35666666666667,30.97,11.19,31547.11333333333
8,10,M,9597.703333333333,89.17333333333333,20.69,11.213333333333333,60752.036666666674
8,10,L,26766.186666666665,90.44,21.47666666666667,11.06,76436.90333333334
8,20,S,1614.01,89.53000000000002,30.98,11.166666666666666,35238.44
8,20,M,9303.416666666666,89.49333333333334,20.64,11.173333333333332,66116.21333333333
8,20,L,25877.486666666664,90.60000000000001,22.340000000000003,11.036666666666667,74959.79666666668
8,30,S,1617.7766666666666,89.55333333333333,30.906666666666666,11.166666666666666,37058.579999999994
8,30,M,9303.956666666667,89.37333333333333,20.636666666666667,11.19,59505.19
8,30,L,25981.093333333334,90.57,22.27333333333333,11.04,76220.43
8,40,S,1610.7033333333336,88.75666666666666,31.046666666666667,11.266666666666666,33383.933333333334
8,40,M,9303.453333333333,89.03333333333335,20.64,11.229999999999999,62991.32666666667
8,40,L,25960.61666666667,89.64333333333333,22.266666666666666,11.156666666666666,73172.98
12,10,S,1629.7300000000002,92.14333333333333,30.683333333333334,10.85,37442.43666666667
12,10,M,9516.76,93.05,20.896666666666665,10.746666666666668,59118.69999999999
12,10,L,26225.763333333336,94.26333333333334,21.91,10.61,74637.40333333334
12,20,S,1625.176666666667,93.10666666666667,30.76666666666667,10.74,30620.556666666667
12,20,M,9706.463333333333,92.86000000000001,20.49,10.770000000000001,66847.48666666666
12,20,L,26792.11666666667,94.65666666666668,21.453333333333333,10.563333333333333,68661.91666666667
12,30,S,1625.04,92.25,30.77,10.839999999999998,37124.65666666667
12,30,M,9304.366666666667,93.08,20.636666666666667,10.743333333333334,62090.56333333333
12,30,L,25982.45,93.60333333333334,22.246666666666666,10.683333333333332,75554.48999999999
12,40,S,1626.9866666666667,91.70666666666666,30.73,10.903333333333334,31158.666666666668
12,40,M,9610.463333333333,92.64999999999999,20.69666666666667,10.793333333333335,62852.76
12,40,L,26237.206666666665,93.86,21.900000000000002,10.656666666666666,73019.65999999999
