workers,threads,prompt_size,prompt_tokens,gen_tokens,ttft_ms,tpot_ms,throughput_prefill,throughput_decode,total_time_ms
12,10,S,50,413,5153.9,146.44,9.7,6.83,65633.2
12,10,S,50,387,5154.95,146.26,9.7,6.84,61757.8
12,10,S,50,313,5178.57,146.1,9.66,6.84,50908.58
12,10,M,194,644,25402.51,151.92,7.64,6.58,123241.44
12,10,M,194,649,25209.57,151.23,7.7,6.61,123358.44
12,10,M,194,548,25376.14,151.25,7.64,6.61,108262.69
12,10,L,518,279,67995.06,153.87,7.62,6.5,110924.75
12,10,L,518,288,68597.91,153.99,7.55,6.49,112946.12
12,10,L,518,345,67952.83,154.77,7.62,6.46,121349.95
12,20,S,50,230,5189.08,147.02,9.64,6.8,39003.96
12,20,S,50,294,5164.43,146.86,9.68,6.81,48342.54
12,20,S,50,309,5157.39,147.02,9.69,6.8,50586.08
12,20,M,194,499,25566.92,150.97,7.59,6.62,100898.79
12,20,M,194,722,25535.91,153.5,7.6,6.51,136363.01
12,20,M,194,681,25535.66,153.27,7.6,6.52,129914.32
12,20,L,518,295,68296.85,154.84,7.58,6.46,113974.78
12,20,L,518,310,68264.29,154.89,7.59,6.46,116279.81
12,20,L,518,308,68436.55,154.74,7.57,6.46,116095.66
12,30,S,50,354,5176.38,146.49,9.66,6.83,57032.84
12,30,S,50,391,5159.22,147.55,9.69,6.78,62849.55
12,30,S,50,429,5171.18,147.62,9.67,6.77,68501.97
12,30,M,194,775,25089.15,153.38,7.73,6.52,143956.8
12,30,M,194,688,25058.98,152.32,7.74,6.57,129857.04
12,30,M,194,737,25050.31,152.23,7.74,6.57,137240.5
12,30,L,518,347,68632.99,154.88,7.55,6.46,122376.12
12,30,L,518,267,69048.95,154.71,7.5,6.46,110357.75
12,30,L,518,335,69087.51,155.22,7.5,6.44,121084.56
12,40,S,50,292,5157.64,146.75,9.69,6.81,48008.3
12,40,S,50,373,5147.88,146.89,9.71,6.81,59936.63
12,40,S,50,406,5154.05,147.4,9.7,6.78,64999.56
12,40,M,194,747,24901.35,153.0,7.79,6.54,139192.27
12,40,M,194,488,25056.17,151.01,7.74,6.62,98747.04
12,40,M,194,613,25574.36,152.09,7.59,6.58,118805.22
12,40,L,518,248,69554.71,154.73,7.45,6.46,107926.82
12,40,L,518,320,68290.65,155.18,7.59,6.44,117947.6
12,40,L,518,313,68277.52,154.72,7.59,6.46,116703.72
4,10,S,50,289,5135.55,138.64,9.74,7.21,45201.3
4,10,S,50,338,5135.99,139.12,9.74,7.19,52158.14
4,10,S,50,335,5140.31,139.02,9.73,7.19,51713.12
4,10,M,194,445,24847.91,142.16,7.81,7.03,88108.8
4,10,M,194,576,24671.91,143.65,7.86,6.96,107415.34
4,10,M,194,640,25471.28,144.3,7.62,6.93,117822.26
4,10,L,518,315,70518.13,147.62,7.35,6.77,117019.88
4,10,L,518,309,70441.43,147.34,7.35,6.79,115970.92
4,10,L,518,317,68131.37,146.75,7.6,6.81,114651.24
4,20,S,50,315,5148.55,138.55,9.71,7.22,48793.34
4,20,S,50,303,5146.5,138.2,9.72,7.24,47022.56
4,20,S,50,348,5145.31,138.31,9.72,7.23,53275.76
4,20,M,194,594,24848.07,143.48,7.81,6.97,110077.17
4,20,M,194,625,25471.04,143.94,7.62,6.95,115433.99
4,20,M,194,529,25472.51,143.47,7.62,6.97,101368.08
4,20,L,518,320,68146.01,146.75,7.6,6.81,115106.87
4,20,L,518,348,68925.38,146.55,7.52,6.82,119923.1
4,20,L,518,264,68134.28,145.91,7.6,6.85,106653.35
4,30,S,50,305,5151.75,139.08,9.71,7.19,47571.14
4,30,S,50,415,5159.92,140.96,9.69,7.09,63659.84
4,30,S,50,309,5148.79,138.98,9.71,7.2,48093.23
4,30,M,194,553,25483.12,144.3,7.61,6.93,105280.85
4,30,M,194,465,25471.69,143.04,7.62,6.99,91983.41
4,30,M,194,523,25150.44,143.62,7.71,6.96,100266.17
4,30,L,518,319,69425.32,148.11,7.46,6.75,116673.44
4,30,L,518,302,68123.78,147.18,7.6,6.79,112572.11
4,30,L,518,313,68127.99,147.0,7.6,6.8,114140.36
4,40,S,50,364,5125.62,138.58,9.75,7.22,55568.93
4,40,S,50,384,5135.78,139.39,9.74,7.17,58661.35
4,40,S,50,316,5137.73,138.65,9.73,7.21,48949.58
4,40,M,194,680,25161.82,144.4,7.71,6.93,123351.08
4,40,M,194,680,24831.87,144.24,7.81,6.93,122918.09
4,40,M,194,615,25474.33,144.45,7.62,6.92,114311.87
4,40,L,518,306,68915.6,146.51,7.52,6.83,113747.33
4,40,L,518,323,69413.24,146.89,7.46,6.81,116857.87
4,40,L,518,265,68115.91,145.57,7.6,6.87,106692.49
8,10,S,50,478,5165.44,144.55,9.68,6.92,74258.13
8,10,S,50,461,5185.39,145.34,9.64,6.88,72185.12
8,10,S,50,376,5155.25,143.26,9.7,6.98,59020.65
8,10,M,194,713,25522.4,149.07,7.6,6.71,131810.18
8,10,M,194,577,25341.22,147.49,7.66,6.78,110442.21
8,10,M,194,473,25500.56,146.55,7.61,6.82,94816.68
8,10,L,518,312,67735.49,150.58,7.65,6.64,114715.43
8,10,L,518,338,68357.72,150.19,7.58,6.66,119120.33
8,10,L,518,330,69482.3,151.21,7.46,6.61,119382.59
8,20,S,50,305,5147.72,142.49,9.71,7.02,48607.13
8,20,S,50,308,5203.31,143.46,9.61,6.97,49387.99
8,20,S,50,347,5137.94,142.28,9.73,7.03,54507.76
8,20,M,194,642,25039.52,147.42,7.75,6.78,119685.84
8,20,M,194,546,24865.57,147.29,7.8,6.79,105283.68
8,20,M,194,481,25506.98,147.31,7.61,6.79,96365.46
8,20,L,518,299,69493.21,150.63,7.45,6.64,114530.11
8,20,L,518,289,69644.19,150.63,7.44,6.64,113176.18
8,20,L,518,329,68529.31,150.79,7.56,6.63,118138.32
8,30,S,50,343,5149.32,142.54,9.71,7.02,54039.23
8,30,S,50,369,5138.6,142.74,9.73,7.01,57810.67
8,30,S,50,399,5152.64,143.81,9.7,6.95,62532.63
8,30,M,194,540,25520.54,147.73,7.6,6.77,105295.29
8,30,M,194,745,25186.48,149.38,7.7,6.69,136471.31
8,30,M,194,582,25501.93,148.34,7.61,6.74,111837.95
8,30,L,518,303,68379.59,150.73,7.58,6.63,114050.17
8,30,L,518,315,67579.32,150.59,7.67,6.64,115015.55
8,30,L,518,331,68248.15,151.45,7.59,6.6,118376.63
8,40,S,50,334,5156.69,141.54,9.7,7.07,52429.44
8,40,S,50,398,5147.56,142.5,9.71,7.02,61862.69
8,40,S,50,366,5154.02,142.61,9.7,7.01,57350.21
8,40,M,194,560,24879.04,146.48,7.8,6.83,106910.32
8,40,M,194,618,25189.75,146.95,7.7,6.81,116004.21
8,40,M,194,709,25505.91,147.71,7.61,6.77,130235.37
8,40,L,518,344,68235.08,149.82,7.59,6.67,119773.23
8,40,L,518,321,67731.5,149.81,7.65,6.68,115820.26
8,40,L,518,288,68984.89,149.19,7.51,6.7,111951.56
