workers,threads,prompt_size,TTFT (ms),TPOT (ms/token),Prefill throughput (tok/s),Decode throughput (tok/s),Total time (ms)
4,10,S,5137.283333333334,138.92666666666665,9.736666666666666,7.196666666666666,49690.85333333333
4,10,M,24997.033333333336,143.37,7.763333333333333,6.973333333333334,104448.8
4,10,L,69696.97666666667,147.23666666666668,7.433333333333333,6.789999999999999,115880.68000000001
4,20,S,5146.786666666667,138.35333333333332,9.716666666666667,7.23,49697.22
4,20,M,25263.873333333333,143.63,7.683333333333334,6.963333333333334,108959.74666666666
4,20,L,68401.89,146.40333333333334,7.573333333333333,6.826666666666667,113894.44
4,30,S,5153.486666666667,139.67333333333332,9.703333333333333,7.16,53108.07
4,30,M,25368.416666666668,143.65333333333334,7.646666666666667,6.96,99176.81
4,30,L,68559.03000000001,147.43,7.553333333333334,6.78,114461.97000000002
4,40,S,5133.043333333333,138.87333333333333,9.74,7.2,54393.28666666666
4,40,M,25156.006666666668,144.36333333333334,7.713333333333334,6.926666666666667,120193.68
4,40,L,68814.91666666667,146.32333333333332,7.526666666666666,6.836666666666666,112432.56333333334
8,10,S,5168.693333333334,144.38333333333333,9.673333333333334,6.926666666666667,68487.96666666666
8,10,M,25454.72666666667,147.70333333333335,7.623333333333334,6.7700000000000005,112356.35666666667
8,10,L,68525.17,150.66,7.5633333333333335,6.636666666666667,117739.45
8,20,S,5162.990000000001,142.74333333333334,9.683333333333334,7.006666666666667,50834.293333333335
8,20,M,25137.35666666667,147.34,7.72,6.786666666666666,107111.65999999999
8,20,L,69222.23666666668,150.6833333333333,7.483333333333333,6.636666666666667,115281.53666666667
8,30,S,5146.8533333333335,143.03,9.713333333333333,6.993333333333333,58127.51
8,30,M,25402.983333333334,148.48333333333332,7.636666666666667,6.733333333333333,117868.18333333333
8,30,L,68069.02,150.92333333333332,7.613333333333333,6.623333333333332,115814.11666666665
8,40,S,5152.756666666667,142.21666666666667,9.703333333333333,7.033333333333334,57214.113333333335
8,40,M,25191.566666666666,147.04666666666665,7.703333333333333,6.803333333333334,117716.63333333335
8,40,L,68317.15666666666,149.60666666666665,7.583333333333333,6.683333333333334,115848.34999999999
12,10,S,5162.473333333332,146.26666666666665,9.686666666666666,6.836666666666666,59433.193333333336
12,10,M,25329.406666666666,151.46666666666667,7.66,6.6000000000000005,118287.52333333333
12,10,L,68181.93333333333,154.21,7.596666666666667,6.483333333333333,115073.60666666667
12,20,S,5170.3,146.96666666666667,9.67,6.803333333333334,45977.52666666667
12,20,M,25546.16333333333,152.58,7.596666666666667,6.55,122392.04
12,20,L,68332.56333333334,154.82333333333335,7.580000000000001,6.46,115450.08333333333
12,30,S,5168.926666666667,147.22,9.673333333333334,6.793333333333333,62794.78666666666
12,30,M,25066.146666666667,152.64333333333332,7.736666666666667,6.553333333333334,137018.1133333333
12,30,L,68923.15000000001,154.93666666666667,7.516666666666667,6.453333333333333,117939.47666666667
12,40,S,5153.19,147.01333333333332,9.700000000000001,6.8,57648.16333333333
12,40,M,25177.293333333335,152.03333333333333,7.706666666666667,6.580000000000001,118914.84333333332
12,40,L,68707.62666666666,154.87666666666667,7.543333333333333,6.453333333333333,114192.71333333333
