workers,threads,prompt_size,TTFT (ms),TPOT (ms/token),Prefill throughput (tok/s),Decode throughput (tok/s),Total time (ms)
4,10,S,6711.040000000001,33.49,42.49666666666667,29.99,16394.829999999998
4,10,M,20999.77666666667,38.876666666666665,31.039999999999996,25.846666666666668,39932.536666666674
4,10,L,24112.84,47.413333333333334,34.68,21.113333333333333,36891.486666666664
4,20,S,7114.490000000001,32.54333333333333,36.69,31.02333333333333,21023.296666666665
4,20,M,17965.176666666666,37.96,35.48333333333333,26.37,42388.07666666667
4,20,L,28109.773333333334,43.56666666666666,32.49666666666666,23.186666666666667,41230.51
4,30,S,10238.943333333335,35.693333333333335,38.82333333333333,28.043333333333333,23389.66
4,30,M,17517.47333333333,43.78,38.23666666666667,22.98,38826.71333333334
4,30,L,36593.14,52.11666666666667,30.80333333333333,19.37,52819.20333333333
4,40,S,11485.56,35.21666666666667,38.876666666666665,28.570000000000004,28354.103333333333
4,40,M,14366.833333333334,41.59666666666667,40.39,24.14,44781.15333333333
4,40,L,35815.14333333333,42.67666666666667,30.793333333333333,23.583333333333332,46707.630000000005
8,10,S,4816.066666666667,40.156666666666666,45.31666666666666,25.01,16370.230000000001
8,10,M,18881.303333333333,54.73333333333333,31.223333333333333,18.613333333333333,66397.36666666667
8,10,L,38495.34333333333,51.60666666666666,29.483333333333334,19.430000000000003,56342.869999999995
8,20,S,15022.11,39.973333333333336,34.78333333333333,25.083333333333332,30176.376666666667
8,20,M,13292.673333333334,47.123333333333335,37.45333333333334,21.31,49719.91
8,20,L,24805.403333333332,48.473333333333336,32.15,20.653333333333332,41385.57666666667
8,30,S,7218.883333333334,37.693333333333335,41.879999999999995,26.75,19621.97
8,30,M,15923.236666666666,45.25666666666666,34.79333333333333,22.28,43173.06666666667
8,30,L,29534.913333333334,48.98,33.19,20.426666666666666,46869.43
8,40,S,7721.463333333333,36.879999999999995,39.81666666666667,27.223333333333333,21626.23
8,40,M,20647.656666666666,44.60666666666666,39.14333333333334,22.756666666666664,45891.18666666667
8,40,L,29978.326666666664,50.080000000000005,32.79666666666667,20.206666666666667,46758.46
12,10,S,6659.116666666666,41.18333333333333,41.986666666666665,24.28333333333333,28868.936666666665
12,10,M,10007.353333333333,47.419999999999995,44.36666666666667,21.09,45768.93
12,10,L,29656.599999999995,55.55666666666667,32.153333333333336,18.349999999999998,44937.74
12,20,S,15405.823333333334,41.97,37.406666666666666,23.926666666666666,30547.533333333336
12,20,M,36408.776666666665,51.68333333333334,29.493333333333336,19.436666666666667,74876.27
12,20,L,58659.98666666667,55.00666666666666,24.363333333333333,18.32,74582.65000000001
12,30,S,9983.683333333334,40.38666666666666,40.276666666666664,24.926666666666666,25093.336666666666
12,30,M,14099.983333333332,44.89333333333334,38.96,22.396666666666665,45728.06
12,30,L,34136.53666666667,51.48333333333333,30.993333333333336,19.676666666666666,47780.333333333336
12,40,S,11256.86,39.57333333333333,36.75333333333334,25.366666666666664,24753.536666666667
12,40,M,22333.553333333333,48.663333333333334,34.346666666666664,20.673333333333332,55863.32666666667
12,40,L,30469.78,49.47,32.01,20.353333333333335,47600.52333333334
